Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775837881,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775837882,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775837883,20,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,8,0,1200,1466.9636499966145,1137.5774999905843,1827.2525999927893,389.125
1775837884,30,,Aggregated,0.000000,0.000000,1800,1800,1900,1900,2300,2400,2400,2400,2400,2400,2400,15,0,1800,1649.5914666661217,1137.5774999905843,2369.6557999937795,356.1333333333333
1775837885,50,,Aggregated,2.000000,0.000000,1900,2200,2200,2300,2400,2500,2600,2600,2600,2600,2600,27,0,1900,1917.5221555579574,1137.5774999905843,2639.3428000155836,730.2962962962963
1775837886,60,,Aggregated,3.000000,0.000000,2200,2200,2300,2400,2600,2600,2800,2800,2800,2800,2800,33,0,2200,2021.3431909108874,1137.5774999905843,2814.006500004325,660.2727272727273
1775837887,70,,Aggregated,4.250000,0.000000,2200,2500,2800,2900,3100,3400,3600,3600,3600,3600,3600,44,0,2200,2297.7959250016615,1137.5774999905843,3610.505699994974,746.4090909090909
1775837888,80,,Aggregated,5.800000,0.000000,2400,2800,3100,3300,3500,3700,3800,3800,3800,3800,3800,51,0,2400,2465.676252941907,1137.5774999905843,3842.3623999988195,708.9019607843137
1775837889,90,,Aggregated,6.333333,0.000000,2600,3300,3500,3700,4100,4400,4500,4600,4600,4600,4600,63,0,2600,2778.2312079364183,1137.5774999905843,4615.033899986884,748.8412698412699
1775837890,100,,Aggregated,6.714286,0.000000,2800,3500,3800,4000,4400,4500,4600,4800,4800,4800,4800,69,0,2800,2924.096246376934,1137.5774999905843,4785.592200001702,718.8550724637681
1775837891,100,,Aggregated,6.750000,0.000000,3100,3800,4200,4500,4800,5100,5100,5300,5300,5300,5300,79,0,3100,3184.127751898825,1137.5774999905843,5285.468899994157,733.0379746835443
1775837892,100,,Aggregated,7.222222,0.000000,3400,4200,4600,4800,5200,5600,5800,5900,5900,5900,5900,89,0,3400,3447.128769662362,1137.5774999905843,5861.4855999767315,736.4719101123595
1775837893,100,,Aggregated,7.500000,0.000000,3800,4600,5100,5300,5700,5800,6100,6200,6200,6200,6200,103,0,3800,3754.9464504852735,1137.5774999905843,6234.434799989685,763.5631067961165
1775837894,100,,Aggregated,8.200000,0.000000,4200,5100,5500,5700,6200,6400,6500,6900,7000,7000,7000,117,0,4200,4058.3692427349483,1137.5774999905843,7006.454599992139,777.6666666666666
1775837895,100,,Aggregated,9.400000,0.000000,4400,5200,5700,5800,6300,6500,7000,7000,7000,7000,7000,123,0,4400,4187.909186991856,1137.5774999905843,7029.879000008805,756.5365853658536
1775837896,100,,Aggregated,9.400000,0.000000,4600,5600,6000,6200,6900,7200,7500,7600,7600,7600,7600,135,0,4600,4460.451885925054,1137.5774999905843,7639.726299996255,773.8
1775837897,100,,Aggregated,10.000000,0.000000,4800,5800,6200,6400,7200,7500,7800,8100,8100,8100,8100,143,0,4800,4638.919418181091,1137.5774999905843,8069.07300002058,768.2097902097902
1775837898,100,,Aggregated,9.600000,0.000000,5100,6000,6700,7000,7600,8000,8200,8400,8400,8400,8400,156,0,5100,4915.843420512549,1137.5774999905843,8372.660499997437,802.8397435897435
1775837899,100,,Aggregated,9.800000,0.000000,5400,6400,7200,7600,8200,8400,8600,8900,9000,9000,9000,172,0,5400,5243.7593372096035,1137.5774999905843,8974.549000005936,808.9593023255813
1775837900,100,,Aggregated,10.000000,0.000000,5800,7000,7500,7700,8300,8500,9000,9100,9300,9300,9300,191,0,5800,5493.054990576524,1137.5774999905843,9335.136099980446,887.2513089005236
1775837901,100,,Aggregated,10.200000,0.000000,5800,6800,7300,7600,8200,8400,8900,9100,9300,9300,9300,222,0,5800,5567.1514373882,1137.5774999905843,9335.136099980446,948.3423423423424
1775837902,100,,Aggregated,11.000000,0.000000,5700,6400,7200,7500,8200,8400,8900,9100,9300,9300,9300,244,0,5600,5473.41369795155,1137.5774999905843,9335.136099980446,1001.6844262295082
1775837903,100,,Aggregated,11.900000,0.000000,4900,6000,6700,7100,8000,8400,8600,9000,9300,9300,9300,311,0,4900,4657.702969132445,6.532600003993139,9335.136099980446,997.3536977491962
1775837904,100,,Aggregated,14.500000,0.000000,4600,5800,6400,7000,7900,8300,8600,9000,9300,9300,9300,331,0,4600,4377.03894773469,2.4810000031720847,9335.136099980446,1026.5045317220545
1775837905,100,,Aggregated,14.800000,0.000000,3900,5500,6300,6800,7800,8300,8500,9000,9300,9300,9300,375,0,3900,3864.5333722670716,1.8689999997150153,9335.136099980446,1047.1253333333334
1775837906,100,,Aggregated,20.900000,0.000000,3400,5200,6000,6400,7600,8300,8500,8900,9300,9300,9300,414,0,3400,3501.4127183578044,1.8689999997150153,9335.136099980446,1082.987922705314
1775837907,100,,Aggregated,22.000000,0.000000,2600,4900,5800,6400,7600,8200,8500,8900,9300,9300,9300,454,0,2600,3193.8914224671585,1.8689999997150153,9335.136099980446,1090.409691629956
1775837908,100,,Aggregated,25.300000,0.000000,2200,4600,5600,6200,7500,8200,8500,8900,9300,9300,9300,493,0,2200,2941.9524221096385,1.8330000166315585,9335.136099980446,1094.0365111561866
1775837909,100,,Aggregated,28.200000,0.000000,1600,4100,5300,6000,7400,8100,8400,8800,9300,9300,9300,538,0,1500,2696.8873633828803,1.8330000166315585,9335.136099980446,1112.7881040892194
1775837910,100,,Aggregated,31.100000,0.000000,1100,3800,5100,5800,7300,8100,8400,8800,9300,9300,9300,572,0,1100,2537.157447027878,1.4946000010240823,9335.136099980446,1129.5017482517483
1775837911,100,,Aggregated,34.000000,0.000000,190,3400,4900,5700,7200,8000,8400,8600,9300,9300,9300,609,0,190,2383.6907275862745,1.4946000010240823,9335.136099980446,1145.711001642036
1775837912,100,,Aggregated,36.300000,0.000000,23,3000,4800,5500,7000,7900,8400,8600,9300,9300,9300,646,0,23,2247.6332777090756,1.4946000010240823,9335.136099980446,1152.2120743034056
1775837913,100,,Aggregated,38.000000,0.000000,18,2400,4500,5200,6900,7900,8400,8600,9300,9300,9300,691,0,18,2101.914226917549,1.4946000010240823,9335.136099980446,1152.327062228654
1775837914,100,,Aggregated,38.300000,0.000000,17,2200,4100,5100,6900,7800,8400,8500,9300,9300,9300,723,0,17,2009.3003820195518,1.4946000010240823,9335.136099980446,1150.7206085753803
1775837915,100,,Aggregated,40.400000,0.000000,16,1800,3900,4900,6700,7700,8400,8500,9300,9300,9300,763,0,16,1904.456526867801,1.4946000010240823,9335.136099980446,1160.4731323722149
1775837916,100,,Aggregated,37.900000,0.000000,15,1400,3600,4800,6500,7700,8400,8500,9300,9300,9300,798,0,15,1821.312087468898,1.4946000010240823,9335.136099980446,1159.1954887218046
1775837918,100,,Aggregated,38.600000,0.000000,14,1100,3400,4600,6400,7600,8300,8500,9300,9300,9300,834,0,14,1743.131935371836,1.4946000010240823,9335.136099980446,1163.341726618705
1775837919,100,,Aggregated,38.500000,0.000000,14,480,3000,4300,6400,7600,8300,8500,9300,9300,9300,879,0,14,1654.6583673494272,1.4946000010240823,9335.136099980446,1174.6052332195677
1775837920,100,,Aggregated,37.600000,0.000000,13,58,2600,4100,6400,7600,8300,8500,9300,9300,9300,910,0,13,1598.5744507693569,1.4946000010240823,9335.136099980446,1177.1758241758241
1775837921,100,,Aggregated,38.300000,0.000000,13,30,2300,3900,6200,7500,8300,8500,9300,9300,9300,950,0,13,1531.6410326318644,1.4946000010240823,9335.136099980446,1182.036842105263
1775837922,100,,Aggregated,37.100000,0.000000,13,22,2200,3600,6200,7500,8300,8500,9300,9300,9300,992,0,13,1467.197690020458,1.4946000010240823,9335.136099980446,1182.554435483871
1775837923,100,,Aggregated,37.500000,0.000000,12,20,1900,3500,6100,7400,8300,8400,9100,9300,9300,1024,0,12,1421.5815421877664,1.4946000010240823,9335.136099980446,1182.515625
1775837924,100,,Aggregated,38.100000,0.000000,12,19,1700,3200,6000,7400,8300,8400,9100,9300,9300,1067,0,12,1364.7661272730093,1.4946000010240823,9335.136099980446,1177.5548266166822
1775837925,100,,Aggregated,38.100000,0.000000,12,18,1200,2900,5900,7300,8200,8400,9100,9300,9300,1107,0,12,1315.7958056912955,1.4946000010240823,9335.136099980446,1180.947606142728
1775837926,100,,Aggregated,37.200000,0.000000,12,18,1100,2600,5800,7300,8200,8400,9100,9300,9300,1146,0,12,1271.364073211395,1.4946000010240823,9335.136099980446,1174.7547993019198
1775837927,100,,Aggregated,38.400000,0.000000,11,18,580,2300,5700,7200,8200,8400,9100,9300,9300,1188,0,11,1226.7401035356602,1.4946000010240823,9335.136099980446,1182.2457912457912
1775837928,100,,Aggregated,38.100000,0.000000,11,17,110,2200,5600,7100,8200,8400,9100,9300,9300,1229,0,11,1186.1583353135813,1.4946000010240823,9335.136099980446,1176.306753458096
1775837929,100,,Aggregated,38.400000,0.000000,11,17,36,2100,5600,7100,8200,8400,9100,9300,9300,1262,0,11,1155.410942393334,1.4946000010240823,9335.136099980446,1170.3106180665611
1775837930,100,,Aggregated,39.300000,0.000000,11,17,30,1800,5400,7000,8100,8400,9100,9300,9300,1301,0,11,1121.104577094864,1.4946000010240823,9335.136099980446,1173.933897002306
1775837931,100,,Aggregated,37.400000,0.000000,11,16,26,1600,5300,7000,8100,8400,9100,9300,9300,1345,0,11,1084.8211913758007,1.4946000010240823,9335.136099980446,1172.546468401487
1775837932,100,,Aggregated,38.500000,0.000000,11,16,23,1200,5200,6900,8100,8400,9100,9300,9300,1381,0,11,1056.714252643343,1.4946000010240823,9335.136099980446,1172.6140477914555
1775837933,100,,Aggregated,38.800000,0.000000,11,16,22,1100,5100,6900,8100,8400,9100,9300,9300,1424,0,11,1025.162614607039,1.4946000010240823,9335.136099980446,1175.7900280898875
1775837934,100,,Aggregated,38.500000,0.000000,11,16,22,770,5100,6900,8100,8400,9100,9300,9300,1457,0,11,1002.2244832536032,1.4946000010240823,9335.136099980446,1184.770761839396
1775837935,100,,Aggregated,39.100000,0.000000,11,16,21,280,5000,6800,8000,8400,9100,9300,9300,1502,0,11,972.4892908126928,1.4946000010240823,9335.136099980446,1182.2217043941412
1775837936,100,,Aggregated,38.800000,0.000000,11,15,20,130,4900,6700,8000,8400,9100,9300,9300,1534,0,11,952.3890073667447,1.4946000010240823,9335.136099980446,1175.715775749674
1775837937,100,,Aggregated,38.800000,0.000000,11,15,20,38,4800,6700,8000,8400,9100,9300,9300,1573,0,11,929.0284281631325,1.4946000010240823,9335.136099980446,1175.3445645263828
